what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769597688967
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769597690907
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1769597696854
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769597696880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769597699133
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1769597721506
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769597721532
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769597724899
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769597725361
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769597734486
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769597738856
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769597753394
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1769597757098
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769597757383
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769597815746
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769597818523
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1769597831518
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769597831798
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769597886663
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769597946219
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769597979379
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769598070258
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769598070291
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769598144605
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1769598147950
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769598148229
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1769598203109
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769598219890
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769598223239
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769598231473
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769598247977
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1769598250831
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769598251179
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1769598266649
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769598355330
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769598367011
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769598423595
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1769598426111
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769598426427
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1769598456024
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769598622088
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769598732842
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769598733161
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769598791139
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769598839644
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769598845725
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769598845769
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769598928093
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769598929312
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769598979638
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769599143898
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769599146924
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769599150510
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769599156064
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769599156129
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769599163816
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769599166133
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769599166179
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769599230152
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769599241956
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769599243828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769599245501
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769599246576
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769599248892
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769599248952
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769599254303
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769599277276
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769599277341
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769599279397
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAs",1769599279406
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1769599283047
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769599283116
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769599285473
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769599285508
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769599287871
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769599288273
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769599292689
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769599295382
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769599356691
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769599356748
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769599369467
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769599389009
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769599404338
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769599421957
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769599589664
